id,name,descr,lang_code,is_active,cr_by,cr_dtimes
login_auth,Authentification à la connexion,Authentification à la connexion de l'utilisateur,fra,TRUE,superadmin,now()
eod_auth,Authentification de à la clôture,Authentification à la clôture,fra,TRUE,superadmin,now()
packet_auth,Authentification de paquet,Authentification de paquet,fra,TRUE,superadmin,now()
exception_auth,Authentification d’exception,Authentification d’exception,fra,TRUE,superadmin,now()
onboard_auth,Authentification embarquée,Authentification embarquée,fra,TRUE,superadmin,now()
