code,name,descr,lang_code,is_active,cr_by,cr_dtimes
POA,Justificatif de domicile,Justificatif de domicile,fra,True,superadmin,now()
POI,Justificatif d'identité,Justificatif d'identité,fra,True,superadmin,now()
POR,Justificatif de lien de parenté,Justificatif de lien de parenté,fra,True,superadmin,now()
POB,Justificatif de date de naissance,Justificatif de date de naissance,fra,True,superadmin,now()
POE,Justificatif d'exception biométrique,Justificatif d'exception biométrique,fra,True,superadmin,now()
POC,Justificatif de consentement,Justificatif de consentement,fra,True,superadmin,now()
