id,name,brand,model,mtyp_code,min_driver_ver,descr,lang_code,is_active,cr_by,cr_dtimes
1001,Vostro,Dell,3568,DKS,1.454,Pour les enrôlements,fra,TRUE,superadmin,now()
1002,PROBOOK,HP,430 G6,LTP,1.454,PC pour pour les enrôlements en phase developpement,fra,TRUE,superadmin,now()
