code,name,descr,lang_code,is_active,cr_by,cr_dtimes
DKS,Ordinateur,Ordinateurs de bureau,fra,TRUE,superadmin,now()
LTP,Portable,Ordinateurs portable,fra,TRUE,superadmin,now()
TBT,Tablette,Tablette,fra,TRUE,superadmin,now()
