id,name,descr,lang_code,is_active,cr_by,cr_dtimes
10001,Pré-inscription,Portail Web pour les pré-inscriptions,fra,TRUE,superadmin,now()
10003,Client dinscription,Application de bureau pour les inscriptions,fra,TRUE,superadmin,now()
10005,Processeur dinscription,Demande de post-inscription,fra,TRUE,superadmin,now()
10007,Authentification ID,Application pour lauthentification du fournisseur de services tiers,fra,TRUE,superadmin,now()
10009,Contrôle didentité,Portail Web pour la configuration dapplications,fra,TRUE,superadmin,now()
10011,Portail Résident,Portail Web pour les services de génération de post-ID,fra,TRUE,superadmin,now()
