code,name,descr,lang_code,is_active,cr_by,cr_dtimes
MNA,Arbitrage manuel,Rejet après vérification manuelle,fra,TRUE,superadmin,now()
CLR,Rejet Enregistrement,Rejet lors de l'enregistrement,fra,TRUE,superadmin,now()
