code,name,descr,lang_code,is_active,cr_by,cr_dtimes
REG,Permanent,Centre d'Enregistrement Permanent,fra,TRUE,superadmin,now()
CEP,Provisoire,Centre d'Enregistrement Provisoire,fra,TRUE,superadmin,now()
CEI,Itinérant,Centre d'Enregistrement Itinérant,fra,TRUE,superadmin,now()
