code,descr,lang_code,is_active,cr_by,cr_dtimes
SUPERADMIN,Superadmin,fra,TRUE,superadmin,now()
REGISTRATION_OFFICER,Registration Officer,fra,TRUE,superadmin,now()
REGISTRATION_SUPERVISOR,Supervisor,fra,TRUE,superadmin,now()
REGISTRATION_ADMIN,Registration Admin,fra,TRUE,superadmin,now()
